Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

12:01:51 AM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:05:18 AM IST  all   13.27    0.00    4.34    0.09    0.00    1.62    0.00    0.00    0.00   80.70
12:05:19 AM IST  all   11.62    0.00    5.56    0.09    0.00    1.54    0.00    0.00    0.00   81.20
12:05:20 AM IST  all   12.55    0.00    4.83    0.08    0.00    1.53    0.00    0.00    0.00   81.00
12:05:21 AM IST  all   12.73    0.00    4.75    0.08    0.00    1.70    0.00    0.00    0.00   80.73
12:05:22 AM IST  all   12.82    0.00    4.41    0.08    0.00    1.78    0.00    0.00    0.00   80.90
12:05:23 AM IST  all   13.01    0.00    4.90    0.08    0.00    1.60    0.00    0.00    0.00   80.41
12:05:24 AM IST  all   12.69    0.00    4.03    0.09    0.00    1.89    0.00    0.00    0.00   81.30
12:05:25 AM IST  all   12.31    0.00    4.44    0.00    0.00    1.71    0.00    0.00    0.00   81.54
12:05:26 AM IST  all   12.88    0.00    4.44    0.00    0.00    1.45    0.00    0.00    0.00   81.23
12:05:27 AM IST  all   13.48    0.00    4.63    0.08    0.00    1.60    0.00    0.00    0.00   80.20
12:05:28 AM IST  all   11.79    0.00    5.34    0.08    0.00    2.04    0.00    0.00    0.00   80.75
12:05:29 AM IST  all   12.54    0.00    4.92    0.17    0.00    1.53    0.00    0.00    0.00   80.85
12:05:30 AM IST  all   12.95    0.00    4.77    0.09    0.00    1.28    0.00    0.00    0.00   80.92
12:05:31 AM IST  all   12.90    0.00    4.33    0.08    0.00    2.29    0.00    0.00    0.00   80.39
12:05:32 AM IST  all   13.08    0.00    4.73    0.08    0.00    1.52    0.00    0.00    0.00   80.59
12:05:33 AM IST  all   12.81    0.00    4.10    0.09    0.00    2.05    0.00    0.00    0.00   80.96
12:05:34 AM IST  all   12.47    0.00    4.95    0.09    0.00    1.02    0.00    0.00    0.00   81.47
12:05:35 AM IST  all   12.75    0.00    4.65    0.08    0.00    2.20    0.00    0.00    0.00   80.32
12:05:36 AM IST  all   12.27    0.00    4.60    0.09    0.00    1.87    0.00    0.00    0.00   81.18
