procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
55  0 1751052 169996 106488 3931572    0    0     0  7956 20001 120478 14  6 79  1  0  0
31  0 1751052 184304 106496 3928352    0    0     0  7404 18493 118777 11  6 82  1  0  0
43  0 1751052 161720 106504 3924692    0    0     0  7164 17257 115133 12  6 81  1  0  0
28  0 1751052 200444 106504 3912336    0    0     0  6712 18368 118268 12  6 81  1  0  0
43  0 1751052 205060 106560 3905972    0    0     0  7336 17951 118444 11  6 82  1  0  0
16  0 1751052 207152 106568 3905788    0    0     0  7132 16348 113809 11  6 82  1  0  0
34  0 1751052 211908 106640 3903768    0    0     0 10344 18566 118562 11  6 81  1  0  0
15  1 1751052 213908 106656 3904640    0    0     0  7112 17284 113854 11  7 81  1  0  0
48  0 1751052 219916 106656 3901612    0    0     0  7228 17438 115996 11  6 82  1  0  0
46  0 1751052 225392 106656 3901664    0    0     0  6832 17539 115990 11  6 82  1  0  0
22  0 1751052 223964 106672 3900948    0    0     0  7544 17728 116512 11  5 83  1  0  0
45  0 1751052 239748 106680 3900112    0    0     0  6032 15380 91380 10  6 84  0  0  0
 0  1 1751052 244460 106696 3900032    0    0     0  6556 17042 112389 11  5 83  1  0  0
27  0 1751052 274832 106696 3900240    0    0     0  6496 18195 110904 16  6 78  1  0  0
 8  0 1751052 280196 106712 3897236    0    0     0  6908 17726 116069 11  6 82  1  0  0
 2  0 1751052 284804 106720 3897344    0    0     0  7004 17742 117470 11  6 82  1  0  0
53  0 1751052 259952 106728 3923740    0    0     0  7016 20521 119240 14  6 79  1  0  0
50  0 1751052 264656 106744 3923852    0    0     0  8364 18960 117701 12  7 80  1  0  0
37  0 1751052 265940 106744 3919720    0    0     0  7220 17304 116226 11  5 83  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  0 1751052 268644 106744 3916732    0    0     0  7008 17907 117950 11  6 83  1  0  0
48  0 1751052 272840 106752 3916816    0    0     0  7320 17146 114809 12  5 82  1  0  0
33  0 1751052 271592 106760 3916840    0    0     0  6800 18125 117861 11  6 82  1  0  0
 4  0 1751052 284012 106760 3904720    0    0     0  6940 17356 116031 12  6 82  1  0  0
 0  1 1751052 287216 106776 3904400    0    0     0  7140 18107 118251 10  6 83  1  0  0
35  0 1751052 286248 106792 3904732    0    0     0  6868 17295 115609 11  6 82  1  0  0
33  1 1751052 289468 106792 3904820    0    0     0  7168 17470 115897 11  6 83  1  0  0
 0  1 1751052 286704 106808 3905400    0    0     0  7272 17946 117049 11  6 83  1  0  0
52  0 1751052 292740 106808 3902132    0    0     0  6752 18171 118862 12  5 82  1  0  0
42  0 1751052 292836 106808 3902044    0    0     0  6856 17947 118155 11  6 82  1  0  0
40  0 1751052 292444 106808 3902436    0    0     0  6944 17216 115719 11  6 82  1  0  0
 0  1 1751052 293164 106808 3901384    0    0     0  6936 17865 117707 10  6 83  1  0  0
42  0 1751052 295448 106824 3901372    0    0     0  7420 18401 119734 11  6 83  1  0  0
50  0 1751052 293804 106832 3901368    0    0     0  7056 17394 118123 11  5 83  1  0  0
 0  1 1751052 296240 106832 3898240    0    0     0  6848 17761 117413 12  5 82  1  0  0
45  1 1751052 295144 106832 3898452    0    0     0  6992 17719 118525 11  6 82  1  0  0
 5  0 1751052 301740 106832 3898508    0    0     0  6904 17999 117353 11  6 83  1  0  0
48  0 1751052 302004 106840 3898592    0    0     0  7328 18086 117788 11  6 82  1  0  0
